brand_name,product_name,price,rating_count
IKEA,"BRIMNES Wardrobe with 3 doors, 117x190 cm",€149.-,155
IKEA,"BRIMNES Bed frame with storage, 140x200 cm",€189.-,153
IKEA,"MALM Bed frame, high, w 2 storage boxes, 140x200 cm",€209.-,61
IKEA,"MALM Chest of 6 drawers, 160x78 cm",€139.-,328
IKEA,"MALM Chest of 4 drawers, 80x100 cm",€79.95,371
IKEA,"RAKKESTAD Wardrobe with 3 doors, 117x176 cm",€159.-,59
IKEA,"KALLAX Shelving unit, 77x147 cm",€59.95,404
IKEA,"BRIMNES Wardrobe with 3 doors, 117x190 cm",€149.-,308
IKEA,"KLEPPSTAD Wardrobe with 2 doors, 79x176 cm",€79.95,57
IKEA,"STOENSE Rug, low pile, 200x300 cm",€139.-,463
